orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,EPI - DPT-HepB-HIB 1 doses given <1 year,EPI - DPT-HepB-HIB 3 doses given <1 year,105-EP11. Yellow Fever,EPI - MR 1 doses given <1 year,EPI - Measles 2 (MR2) doses_1-4 yrs,HMIS 105Bc: CL 29: Rota Virus 3,EPI - HPV1 doses given
MOH - Uganda,Tooro,Bundibugyo District,g8M1cWRJZV6,Bundibugyo District,,,202408,August 2024,202408,,1409.0,1780.0,0.0,2147.0,2838.0,164.0,632
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202401,January 2024,202401,,792.0,777.0,0.0,935.0,128.0,0.0,150
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202402,February 2024,202402,,737.0,757.0,,774.0,97.0,,88
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202403,March 2024,202403,,749.0,774.0,0.0,878.0,523.0,0.0,77
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202404,April 2024,202404,,891.0,861.0,0.0,945.0,1048.0,119.0,3642
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202405,May 2024,202405,,815.0,785.0,0.0,712.0,277.0,110.0,68
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202406,June 2024,202406,,696.0,768.0,0.0,730.0,507.0,244.0,54
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202407,July 2024,202407,,876.0,831.0,0.0,797.0,315.0,209.0,67
MOH - Uganda,Tooro,Bunyangabu District,iTfbtn6JUsN,Bunyangabu District,,,202408,August 2024,202408,,707.0,722.0,,845.0,1862.0,358.0,49
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202401,January 2024,202401,,742.0,749.0,,678.0,142.0,68.0,137
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202402,February 2024,202402,,609.0,652.0,,593.0,192.0,72.0,12
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202403,March 2024,202403,,637.0,622.0,,687.0,256.0,403.0,144
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202404,April 2024,202404,,724.0,653.0,,671.0,813.0,366.0,2054
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202405,May 2024,202405,,623.0,692.0,,569.0,217.0,323.0,37
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202406,June 2024,202406,,585.0,649.0,,625.0,346.0,329.0,60
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202407,July 2024,202407,,888.0,763.0,,711.0,432.0,452.0,40
MOH - Uganda,Tooro,Fort Portal City,R1x33oSVR1M,Fort Portal City,,,202408,August 2024,202408,,662.0,631.0,,599.0,1143.0,137.0,6
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202401,January 2024,202401,,718.0,657.0,0.0,643.0,226.0,79.0,1
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202402,February 2024,202402,,704.0,688.0,0.0,599.0,174.0,227.0,19
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202403,March 2024,202403,,691.0,788.0,0.0,613.0,243.0,74.0,0
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202404,April 2024,202404,,770.0,630.0,3.0,579.0,191.0,159.0,4134
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202405,May 2024,202405,,806.0,649.0,0.0,660.0,1728.0,176.0,36
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202406,June 2024,202406,,680.0,594.0,0.0,544.0,264.0,212.0,8
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202407,July 2024,202407,,716.0,684.0,0.0,679.0,331.0,329.0,20
MOH - Uganda,Tooro,Kabarole District,m77oR1YJESj,Kabarole District,,,202408,August 2024,202408,,774.0,659.0,0.0,773.0,872.0,345.0,60
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202401,January 2024,202401,,1478.0,1377.0,0.0,1473.0,508.0,11.0,12
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202402,February 2024,202402,,1475.0,1505.0,0.0,1927.0,691.0,0.0,5
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202403,March 2024,202403,,1361.0,1321.0,0.0,1264.0,467.0,106.0,9
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202404,April 2024,202404,,1450.0,1393.0,0.0,1470.0,2177.0,34.0,4833
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202405,May 2024,202405,,1473.0,1443.0,0.0,3338.0,4275.0,79.0,112
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202406,June 2024,202406,,1312.0,1280.0,0.0,1469.0,11572.0,0.0,9
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202407,July 2024,202407,,1354.0,1390.0,0.0,1481.0,1306.0,84.0,79
MOH - Uganda,Tooro,Kamwenge District,uCVQXAdKqL9,Kamwenge District,,,202408,August 2024,202408,,1203.0,1209.0,0.0,1141.0,492.0,120.0,20
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202401,January 2024,202401,,3251.0,3258.0,9.0,3202.0,231.0,114.0,9
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202402,February 2024,202402,,3120.0,3119.0,0.0,3224.0,468.0,34.0,65
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202403,March 2024,202403,,2976.0,3053.0,4.0,2909.0,396.0,154.0,58
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202404,April 2024,202404,,3061.0,3438.0,3.0,3435.0,620.0,266.0,9634
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202405,May 2024,202405,,2772.0,2784.0,0.0,3215.0,1089.0,268.0,129
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202406,June 2024,202406,,2946.0,2935.0,3.0,6620.0,8998.0,312.0,61
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202407,July 2024,202407,,3247.0,3137.0,13.0,3415.0,4442.0,503.0,112
MOH - Uganda,Tooro,Kasese District,aa8xVDzSpte,Kasese District,,,202408,August 2024,202408,,2967.0,2938.0,0.0,47589.0,398.0,627.0,105
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202401,January 2024,202401,,781.0,778.0,,722.0,97.0,91.0,8
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202402,February 2024,202402,,733.0,860.0,1.0,722.0,195.0,30.0,20
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202403,March 2024,202403,,666.0,754.0,,605.0,181.0,,94
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202404,April 2024,202404,,738.0,743.0,,683.0,242.0,90.0,1771
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202405,May 2024,202405,,802.0,786.0,,752.0,149.0,211.0,154
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202406,June 2024,202406,,646.0,742.0,,723.0,69.0,45.0,70
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202407,July 2024,202407,,769.0,843.0,,778.0,1150.0,216.0,39
MOH - Uganda,Tooro,Kitagwenda District,qKmESX5Owwr,Kitagwenda District,,,202408,August 2024,202408,,757.0,767.0,,1072.0,2926.0,286.0,120
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202401,January 2024,202401,,2047.0,1964.0,0.0,1913.0,1859.0,0.0,3
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202402,February 2024,202402,,2009.0,2031.0,0.0,2048.0,1578.0,101.0,4
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202403,March 2024,202403,,1989.0,2024.0,0.0,1907.0,838.0,258.0,47
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202404,April 2024,202404,,2102.0,2007.0,0.0,1726.0,1041.0,62.0,4779
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202405,May 2024,202405,,2051.0,1884.0,0.0,1971.0,833.0,126.0,192
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202406,June 2024,202406,,2182.0,2072.0,0.0,1960.0,908.0,825.0,26
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202407,July 2024,202407,,2412.0,2407.0,0.0,2145.0,1068.0,1077.0,59
MOH - Uganda,Tooro,Kyegegwa District,a9tQqo1rSj7,Kyegegwa District,,,202408,August 2024,202408,,2324.0,2298.0,0.0,2640.0,3858.0,1135.0,81
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202401,January 2024,202401,,2082.0,1781.0,,1760.0,132.0,195.0,2
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202402,February 2024,202402,,1767.0,1644.0,,1608.0,120.0,0.0,0
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202403,March 2024,202403,,1679.0,1903.0,0.0,1646.0,111.0,79.0,3
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202404,April 2024,202404,,1720.0,1762.0,0.0,1760.0,262.0,104.0,3626
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202405,May 2024,202405,,1754.0,2028.0,,2697.0,2708.0,170.0,633
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202406,June 2024,202406,,1767.0,1606.0,,1714.0,283.0,210.0,31
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202407,July 2024,202407,,1661.0,1635.0,,2219.0,13029.0,148.0,85
MOH - Uganda,Tooro,Kyenjojo District,O9MoQcpZ4uA,Kyenjojo District,,,202408,August 2024,202408,,1595.0,1581.0,,1671.0,2839.0,194.0,43
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202401,January 2024,202401,,264.0,219.0,,223.0,32.0,0.0,0
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202402,February 2024,202402,,252.0,185.0,1.0,157.0,17.0,0.0,21
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202403,March 2024,202403,,195.0,268.0,1.0,220.0,52.0,7.0,9
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202404,April 2024,202404,,197.0,182.0,,226.0,378.0,11.0,750
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202405,May 2024,202405,,232.0,223.0,,257.0,118.0,0.0,
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202406,June 2024,202406,,181.0,184.0,,153.0,65.0,12.0,
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202407,July 2024,202407,,285.0,223.0,,283.0,63.0,32.0,46
MOH - Uganda,Tooro,Ntoroko District,z8D9ER36EKN,Ntoroko District,,,202408,August 2024,202408,,314.0,284.0,,320.0,65.0,194.0,19
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202401,January 2024,202401,,1165.0,1172.0,0.0,1160.0,471.0,146.0,182
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202402,February 2024,202402,,1130.0,1187.0,0.0,1072.0,697.0,22.0,256
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202403,March 2024,202403,,1375.0,1301.0,0.0,1015.0,609.0,46.0,443
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202404,April 2024,202404,,1520.0,1534.0,0.0,1604.0,5650.0,6.0,5596
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202405,May 2024,202405,,1237.0,1138.0,0.0,1186.0,770.0,112.0,159
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202406,June 2024,202406,,1156.0,1168.0,0.0,1397.0,1539.0,259.0,171
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202407,July 2024,202407,,1243.0,1204.0,0.0,1391.0,1162.0,466.0,132
MOH - Uganda,West Nile,Adjumani District,QYiQ2KqgCxj,Adjumani District,,,202408,August 2024,202408,,1199.0,1230.0,0.0,1286.0,1197.0,455.0,436
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202401,January 2024,202401,,1134.0,1200.0,,1252.0,76.0,139.0,4
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202402,February 2024,202402,,1239.0,1348.0,,1070.0,236.0,186.0,
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202403,March 2024,202403,,1137.0,1265.0,,1256.0,688.0,,99
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202404,April 2024,202404,,1689.0,1825.0,,1859.0,3334.0,0.0,11738
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202405,May 2024,202405,,1355.0,1386.0,,1052.0,257.0,174.0,126
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202406,June 2024,202406,,1168.0,1078.0,0.0,2741.0,23813.0,198.0,171
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202407,July 2024,202407,,1236.0,1238.0,,1137.0,337.0,163.0,40
MOH - Uganda,West Nile,Arua City,iQTVPmAJPkr,Arua City,,,202408,August 2024,202408,,1182.0,1353.0,,1154.0,208.0,167.0,77
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202401,January 2024,202401,,443.0,448.0,,328.0,28.0,0.0,29
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202402,February 2024,202402,,494.0,468.0,,393.0,60.0,,106
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202403,March 2024,202403,,488.0,482.0,0.0,467.0,154.0,0.0,144
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202404,April 2024,202404,,502.0,525.0,,513.0,238.0,0.0,1814
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202405,May 2024,202405,,620.0,467.0,,420.0,588.0,2.0,70
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202406,June 2024,202406,,536.0,432.0,,498.0,226.0,22.0,77
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202407,July 2024,202407,,491.0,456.0,,426.0,714.0,3.0,43
MOH - Uganda,West Nile,Arua District,WcB3kLlgRTb,Arua District,,,202408,August 2024,202408,,388.0,442.0,0.0,412.0,381.0,51.0,79
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202401,January 2024,202401,,891.0,949.0,0.0,700.0,511.0,40.0,2
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202402,February 2024,202402,,847.0,896.0,0.0,1247.0,977.0,52.0,64
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202403,March 2024,202403,,927.0,1044.0,0.0,1173.0,1662.0,85.0,3
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202404,April 2024,202404,,1004.0,1073.0,0.0,1014.0,5006.0,405.0,3153
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202405,May 2024,202405,,997.0,1000.0,0.0,1072.0,991.0,377.0,0
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202406,June 2024,202406,,896.0,940.0,0.0,1478.0,9034.0,342.0,31
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202407,July 2024,202407,,1093.0,991.0,0.0,1051.0,783.0,309.0,55
MOH - Uganda,West Nile,Koboko District,iqsaGItA68C,Koboko District,,,202408,August 2024,202408,,971.0,960.0,0.0,970.0,525.0,419.0,55
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202401,January 2024,202401,,796.0,638.0,,528.0,94.0,64.0,29
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202402,February 2024,202402,,639.0,707.0,,929.0,230.0,,226
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202403,March 2024,202403,,572.0,637.0,,597.0,151.0,,109
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202404,April 2024,202404,,719.0,772.0,,676.0,214.0,50.0,3528
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202405,May 2024,202405,,636.0,605.0,,578.0,166.0,,34
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202406,June 2024,202406,,636.0,579.0,,585.0,115.0,54.0,218
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202407,July 2024,202407,,707.0,604.0,,630.0,201.0,154.0,110
MOH - Uganda,West Nile,Madi-Okollo District,bLoH4VbxCGI,Madi-Okollo District,,,202408,August 2024,202408,,587.0,585.0,,580.0,137.0,132.0,90
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202401,January 2024,202401,,811.0,714.0,,651.0,128.0,78.0,
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202402,February 2024,202402,,683.0,710.0,,558.0,154.0,59.0,
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202403,March 2024,202403,,648.0,659.0,,667.0,179.0,,
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202404,April 2024,202404,,696.0,695.0,,720.0,1332.0,150.0,2140
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202405,May 2024,202405,,738.0,620.0,,513.0,220.0,90.0,7
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202406,June 2024,202406,,601.0,563.0,,686.0,365.0,126.0,
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202407,July 2024,202407,,634.0,569.0,,568.0,155.0,280.0,
MOH - Uganda,West Nile,Maracha District,WyR8Eetj7Uw,Maracha District,,,202408,August 2024,202408,,647.0,606.0,,669.0,203.0,336.0,14
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202401,January 2024,202401,,291.0,257.0,,232.0,102.0,0.0,4
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202402,February 2024,202402,,257.0,254.0,0.0,250.0,127.0,1.0,76
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202403,March 2024,202403,,294.0,290.0,0.0,295.0,179.0,0.0,26
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202404,April 2024,202404,,289.0,276.0,,306.0,214.0,24.0,1046
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202405,May 2024,202405,,255.0,255.0,0.0,249.0,214.0,8.0,33
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202406,June 2024,202406,,260.0,256.0,0.0,308.0,756.0,19.0,33
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202407,July 2024,202407,,252.0,257.0,0.0,299.0,356.0,14.0,14
MOH - Uganda,West Nile,Moyo District,W0kQBddyGyh,Moyo District,,,202408,August 2024,202408,,270.0,237.0,0.0,252.0,433.0,13.0,12
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202401,January 2024,202401,,904.0,993.0,0.0,769.0,234.0,0.0,83
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202402,February 2024,202402,,933.0,934.0,0.0,677.0,367.0,0.0,166
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202403,March 2024,202403,,709.0,722.0,0.0,668.0,255.0,0.0,271
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202404,April 2024,202404,,859.0,854.0,0.0,877.0,606.0,63.0,2316
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202405,May 2024,202405,,1028.0,875.0,0.0,858.0,430.0,207.0,39
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202406,June 2024,202406,,842.0,805.0,0.0,2968.0,1170.0,247.0,1
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202407,July 2024,202407,,982.0,924.0,0.0,979.0,307.0,398.0,45
MOH - Uganda,West Nile,Nebbi District,Xjc0LDFa5gW,Nebbi District,,,202408,August 2024,202408,,846.0,871.0,0.0,1298.0,3841.0,395.0,5
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202401,January 2024,202401,,396.0,478.0,0.0,587.0,240.0,0.0,61
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202402,February 2024,202402,,354.0,448.0,0.0,457.0,281.0,73.0,51
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202403,March 2024,202403,,321.0,395.0,0.0,404.0,475.0,129.0,62
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202404,April 2024,202404,,347.0,352.0,0.0,686.0,1113.0,34.0,743
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202405,May 2024,202405,,408.0,423.0,0.0,483.0,315.0,48.0,0
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202406,June 2024,202406,,333.0,323.0,0.0,802.0,2480.0,37.0,3
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202407,July 2024,202407,,321.0,396.0,0.0,499.0,340.0,151.0,5
MOH - Uganda,West Nile,Obongi District,uTMUclQ5bi6,Obongi District,,,202408,August 2024,202408,,315.0,379.0,0.0,424.0,453.0,153.0,35
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202401,January 2024,202401,,771.0,774.0,0.0,686.0,165.0,127.0,185
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202402,February 2024,202402,,773.0,819.0,0.0,829.0,308.0,0.0,126
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202403,March 2024,202403,,807.0,807.0,0.0,743.0,378.0,0.0,527
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202404,April 2024,202404,,734.0,742.0,0.0,714.0,576.0,5.0,2585
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202405,May 2024,202405,,886.0,760.0,0.0,720.0,378.0,9.0,21
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202406,June 2024,202406,,609.0,598.0,0.0,691.0,205.0,33.0,44
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202407,July 2024,202407,,719.0,686.0,0.0,695.0,201.0,67.0,137
MOH - Uganda,West Nile,Pakwach District,uqUyTPvQKII,Pakwach District,,,202408,August 2024,202408,,716.0,737.0,0.0,751.0,269.0,384.0,15
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202401,January 2024,202401,,1142.0,1163.0,0.0,917.0,356.0,148.0,198
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202402,February 2024,202402,,921.0,1098.0,0.0,902.0,296.0,0.0,167
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202403,March 2024,202403,,948.0,1090.0,0.0,879.0,472.0,44.0,135
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202404,April 2024,202404,,1042.0,1084.0,0.0,1185.0,836.0,119.0,4168
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202405,May 2024,202405,,997.0,969.0,0.0,926.0,1186.0,8.0,101
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202406,June 2024,202406,,924.0,877.0,0.0,1348.0,6123.0,18.0,330
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202407,July 2024,202407,,953.0,947.0,0.0,891.0,285.0,162.0,391
MOH - Uganda,West Nile,Terego District,bJgx6UjvyoP,Terego District,,,202408,August 2024,202408,,801.0,848.0,0.0,1373.0,1257.0,110.0,200
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202401,January 2024,202401,,3898.0,3759.0,0.0,3485.0,1719.0,48.0,864
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202402,February 2024,202402,,4101.0,3904.0,0.0,3557.0,1689.0,125.0,539
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202403,March 2024,202403,,4106.0,4043.0,0.0,3451.0,2362.0,218.0,2342
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202404,April 2024,202404,,4428.0,4286.0,0.0,4158.0,6494.0,224.0,9546
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202405,May 2024,202405,,4177.0,4052.0,0.0,3772.0,2560.0,580.0,753
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202406,June 2024,202406,,3542.0,3466.0,0.0,3752.0,21138.0,484.0,461
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202407,July 2024,202407,,3675.0,3592.0,0.0,3747.0,2138.0,1259.0,374
MOH - Uganda,West Nile,Yumbe District,W1JM2Qdhcv3,Yumbe District,,,202408,August 2024,202408,,3613.0,3516.0,0.0,3381.0,2747.0,721.0,376
MOH - Uganda,West Nile,Zombo District,A4aGXEfdb8P,Zombo District,,,202401,January 2024,202401,,1001.0,1148.0,0.0,1169.0,282.0,0.0,215
MOH - Uganda,West Nile,Zombo District,A4aGXEfdb8P,Zombo District,,,202402,February 2024,202402,,975.0,1070.0,,1059.0,324.0,164.0,39
